20696,44800,홍성군,C,16960
20887,44810,예산군,C,16960
21377,44825,태안군,C,16960
22227,45000,전라북도,P,0
22344,45110,전주시,C,22227
22454,45111,전주시/완산구,CC,22227
22524,45113,전주시/덕진구,CC,22227
22570,45130,군산시,C,22227
22715,45140,익산시,C,22227
22960,45180,정읍시,C,22227
23145,45190,남원시,C,22227
23370,45210,김제시,C,22227
23549,45710,완주군,C,22227
23730,45720,진안군,C,22227
23838,45730,무주군,C,22227
23902,45740,장수군,C,22227
24009,45750,임실군,C,22227
24387,45770,순창군,C,22227
24752,45790,고창군,C,22227
24959,45800,부안군,C,22227
25577,46000,전라남도,P,0
26011,46110,목포시,C,25577
26107,46130,여수시,C,25577
26230,46150,순천시,C,25577
26449,46170,나주시,C,25577
26716,46230,광양시,C,25577
26793,46710,담양군,C,25577
26970,46720,곡성군,C,25577
27126,46730,구례군,C,25577
27629,46770,고흥군,C,25577
27827,46780,보성군,C,25577
27969,46790,화순군,C,25577
28234,46800,장흥군,C,25577
28422,46810,강진군,C,25577
28559,46820,해남군,C,25577
28765,46830,영암군,C,25577
28927,46840,무안군,C,25577
29465,46860,함평군,C,25577
29598,46870,영광군,C,25577
29773,46880,장성군,C,25577
29920,46890,완도군,C,25577
30066,46900,진도군,C,25577
30190,46910,신안군,C,25577
30398,47000,경상북도,P,0
30962,47110,포항시,C,30398
31020,47111,포항시/남구,CC,30398
31134,47113,포항시/북구,CC,30398
31279,47130,경주시,C,30398
31505,47150,김천시,C,30398
31707,47170,안동시,C,30398
31951,47190,구미시,C,30398
32131,47210,영주시,C,30398
32262,47230,영천시,C,30398
32492,47250,상주시,C,30398
32786,47280,문경시,C,30398
32926,47290,경산시,C,30398
33432,47720,군위군,C,30398
33660,47730,의성군,C,30398
34511,47750,청송군,C,30398
34728,47760,영양군,C,30398
34903,47770,영덕군,C,30398
36854,47820,청도군,C,30398
37138,47830,고령군,C,30398
37369,47840,성주군,C,30398
37621,47850,칠곡군,C,30398
38855,47900,예천군,C,30398
39350,47920,봉화군,C,30398
39453,47930,울진군,C,30398
39594,47940,울릉군,C,30398
39622,48000,경상남도,P,0
40503,48120,창원시,C,39622
40504,48121,창원시/의창구,CC,39622
40588,48123,창원시/성산구,CC,39622
40630,48125,창원시/마산합포구,CC,39622
40747,48127,창원시/마산회원구,CC,39622
40767,48129,창원시/진해구,CC,39622
41629,48170,진주시,C,39622
41947,48220,통영시,C,39622
42071,48240,사천시,C,39622
42197,48250,김해시,C,39622
42326,48270,밀양시,C,39622
42477,48310,거제시,C,39622
42584,48330,양산시,C,39622
42807,48720,의령군,C,39622
42961,48730,함안군,C,39622
43093,48740,창녕군,C,39622
44600,48820,고성군,C,39622
44850,48840,남해군,C,39622
44960,48850,하동군,C,39622
45093,48860,산청군,C,39622
45248,48870,함양군,C,39622
45368,48880,거창군,C,39622
45482,48890,합천군,C,39622
46072,50000,제주특별자치도,P,0
46073,50110,제주시,C,46072
46209,50130,서귀포시,C,46072
